Mutant_File,Mode_1_Seq,Mode_2_Sample,Mode_3_Odd,Mode_4_Even,Mode_5_HeadTail,Mode_6_Middle
mutant_1.cpp,400,21300,16500,15900,300,1600
mutant_10.cpp,-1,-1,-1,-1,-1,-1
mutant_11.cpp,500,17300,20500,18000,100,2500
mutant_12.cpp,300,18800,24300,16200,200,1700
mutant_13.cpp,500,24100,21500,22000,100,1900
mutant_14.cpp,500,2000,300,200,100,1900
mutant_15.cpp,500,24900,19700,19000,200,2000
mutant_16.cpp,-1,-1,-1,-1,-1,-1
mutant_17.cpp,400,26700,43200,50000,200,1900
mutant_18.cpp,500,20000,23100,18400,200,7500
mutant_19.cpp,500,26400,19100,17100,300,1400
mutant_2.cpp,-1,-1,-1,-1,-1,-1
mutant_20.cpp,500,20400,25000,24800,200,1900
mutant_21.cpp,400,18000,22400,15200,200,1800
mutant_22.cpp,500,19300,18400,17900,0,1500
mutant_23.cpp,-1,-1,-1,-1,-1,-1
mutant_24.cpp,-1,-1,-1,-1,-1,-1
mutant_25.cpp,-1,-1,-1,-1,-1,-1
mutant_26.cpp,-1,-1,-1,-1,-1,-1
mutant_27.cpp,-1,-1,-1,-1,-1,-1
mutant_28.cpp,-1,-1,-1,-1,-1,-1
mutant_29.cpp,-1,-1,-1,-1,-1,-1
mutant_3.cpp,400,1600,200,300,200,1900
mutant_30.cpp,-1,-1,-1,-1,-1,-1
mutant_31.cpp,-1,-1,-1,-1,-1,-1
mutant_32.cpp,-1,-1,-1,-1,-1,-1
mutant_33.cpp,-1,-1,-1,-1,-1,-1
mutant_34.cpp,400,1900,300,200,100,1600
mutant_35.cpp,500,1800,300,200,100,1900
mutant_38.cpp,400,1800,200,200,100,1700
mutant_39.cpp,-1,-1,-1,-1,-1,-1
mutant_4.cpp,600,22900,19700,19400,200,1700
mutant_40.cpp,400,2400,300,300,200,1800
mutant_41.cpp,500,22800,18300,18400,200,1600
mutant_42.cpp,400,1600,200,400,100,1700
mutant_43.cpp,500,23500,18200,19400,200,1700
mutant_44.cpp,400,1700,300,300,100,2200
mutant_46.cpp,400,1600,300,200,100,2000
mutant_48.cpp,400,2900,300,200,100,2100
mutant_49.cpp,-1,-1,-1,-1,-1,-1
mutant_5.cpp,400,21900,22500,18800,200,1700
mutant_6.cpp,400,1600,200,300,100,1800
mutant_7.cpp,500,21400,21000,15900,300,1600
mutant_8.cpp,500,23400,18600,18400,100,2000
mutant_9.cpp,400,18800,18600,20000,200,1800
